mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_clf__C,param_sampler,param_svd,param_tfidf__max_features,param_tfidf__ngram_range,param_scaler,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
3.2756897608439126,0.3480439088157285,0.0,0.0,0.5,SMOTE(random_state=42),"TruncatedSVD(n_components=200, random_state=42)",20000,"(1, 2)",StandardScaler(with_mean=False),"{'clf__C': 0.5, 'sampler': SMOTE(random_state=42), 'scaler': StandardScaler(with_mean=False), 'svd': TruncatedSVD(n_components=200, random_state=42), 'tfidf__max_features': 20000, 'tfidf__ngram_range': (1, 2)}",,,,,,25
0.7670447826385498,0.18146761142886195,0.0,0.0,0.5,SMOTE(random_state=42),"TruncatedSVD(n_components=200, random_state=42)",30000,"(1, 1)",StandardScaler(with_mean=False),"{'clf__C': 0.5, 'sampler': SMOTE(random_state=42), 'scaler': StandardScaler(with_mean=False), 'svd': TruncatedSVD(n_components=200, random_state=42), 'tfidf__max_features': 30000, 'tfidf__ngram_range': (1, 1)}",,,,,,25
2.5223467350006104,0.2164040851359024,0.0,0.0,0.5,SMOTE(random_state=42),"TruncatedSVD(n_components=200, random_state=42)",30000,"(1, 2)",StandardScaler(with_mean=False),"{'clf__C': 0.5, 'sampler': SMOTE(random_state=42), 'scaler': StandardScaler(with_mean=False), 'svd': TruncatedSVD(n_components=200, random_state=42), 'tfidf__max_features': 30000, 'tfidf__ngram_range': (1, 2)}",,,,,,25
0.6693128744761149,0.08602198706056212,0.0,0.0,1.0,SMOTE(random_state=42),"TruncatedSVD(n_components=200, random_state=42)",20000,"(1, 1)",StandardScaler(with_mean=False),"{'clf__C': 1.0, 'sampler': SMOTE(random_state=42), 'scaler': StandardScaler(with_mean=False), 'svd': TruncatedSVD(n_components=200, random_state=42), 'tfidf__max_features': 20000, 'tfidf__ngram_range': (1, 1)}",,,,,,25
2.5249415238698325,0.04145751912646798,0.0,0.0,1.0,SMOTE(random_state=42),"TruncatedSVD(n_components=200, random_state=42)",20000,"(1, 2)",StandardScaler(with_mean=False),"{'clf__C': 1.0, 'sampler': SMOTE(random_state=42), 'scaler': StandardScaler(with_mean=False), 'svd': TruncatedSVD(n_components=200, random_state=42), 'tfidf__max_features': 20000, 'tfidf__ngram_range': (1, 2)}",,,,,,25
0.6425085067749023,0.020651411192387132,0.0,0.0,1.0,SMOTE(random_state=42),"TruncatedSVD(n_components=200, random_state=42)",30000,"(1, 1)",StandardScaler(with_mean=False),"{'clf__C': 1.0, 'sampler': SMOTE(random_state=42), 'scaler': StandardScaler(with_mean=False), 'svd': TruncatedSVD(n_components=200, random_state=42), 'tfidf__max_features': 30000, 'tfidf__ngram_range': (1, 1)}",,,,,,25
3.061997731526693,0.4263810449095583,0.0,0.0,1.0,SMOTE(random_state=42),"TruncatedSVD(n_components=200, random_state=42)",30000,"(1, 2)",StandardScaler(with_mean=False),"{'clf__C': 1.0, 'sampler': SMOTE(random_state=42), 'scaler': StandardScaler(with_mean=False), 'svd': TruncatedSVD(n_components=200, random_state=42), 'tfidf__max_features': 30000, 'tfidf__ngram_range': (1, 2)}",,,,,,25
0.7197291056315104,0.07984457319549139,0.0,0.0,2.0,SMOTE(random_state=42),"TruncatedSVD(n_components=200, random_state=42)",20000,"(1, 1)",StandardScaler(with_mean=False),"{'clf__C': 2.0, 'sampler': SMOTE(random_state=42), 'scaler': StandardScaler(with_mean=False), 'svd': TruncatedSVD(n_components=200, random_state=42), 'tfidf__max_features': 20000, 'tfidf__ngram_range': (1, 1)}",,,,,,25
2.760474999745687,0.2355487935509403,0.0,0.0,2.0,SMOTE(random_state=42),"TruncatedSVD(n_components=200, random_state=42)",20000,"(1, 2)",StandardScaler(with_mean=False),"{'clf__C': 2.0, 'sampler': SMOTE(random_state=42), 'scaler': StandardScaler(with_mean=False), 'svd': TruncatedSVD(n_components=200, random_state=42), 'tfidf__max_features': 20000, 'tfidf__ngram_range': (1, 2)}",,,,,,25
0.8725307782491049,0.14166193300794688,0.0,0.0,2.0,SMOTE(random_state=42),"TruncatedSVD(n_components=200, random_state=42)",30000,"(1, 1)",StandardScaler(with_mean=False),"{'clf__C': 2.0, 'sampler': SMOTE(random_state=42), 'scaler': StandardScaler(with_mean=False), 'svd': TruncatedSVD(n_components=200, random_state=42), 'tfidf__max_features': 30000, 'tfidf__ngram_range': (1, 1)}",,,,,,25
1.7894469102223713,0.07530492206840741,0.0,0.0,2.0,SMOTE(random_state=42),"TruncatedSVD(n_components=200, random_state=42)",30000,"(1, 2)",StandardScaler(with_mean=False),"{'clf__C': 2.0, 'sampler': SMOTE(random_state=42), 'scaler': StandardScaler(with_mean=False), 'svd': TruncatedSVD(n_components=200, random_state=42), 'tfidf__max_features': 30000, 'tfidf__ngram_range': (1, 2)}",,,,,,25
